uA_V1,uA_V2,uA_V3,uA_V4,uA_V5,uA_V6,uA_V7,uA_V8,uA_V9,uA_V10,uA_V11,uA_V12,uA_V13,uA_V14,uA_V15,uA_V16,uA_V17,uA_V18,uA_V19,uA_V20,uA_V21,uA_V22,uA_V23,uA_V24,uA_V25,uA_V26,uA_V27,uA_V28,uA_V29,uA_V30,uA_V31,uA_V32,uA_V33,uA_V34,uA_V35,uA_V36,uA_V37,uA_V38,uA_V39,uA_V40,uA_V41,uA_V42,uA_V43,uA_V44,uA_V45,uA_V46,uA_V47,uA_V48,uA_V49,uA_V50,uA_V51,uA_V52,uA_V53,uA_V54,uA_V55,uA_V56,uA_V57,uA_V58,uA_V59,uA_V60,uA_V61,uA_V62,uA_V63,uA_V64,uA_V65,uA_V66,uA_V67,uA_V68,uA_V69,uA_V70,uA_V71,uA_V72,uA_V73,uA_V74,uA_V75,uA_V76,uA_V77,uA_V78,uA_V79,uA_V80,uA_V81,uA_V82,uA_V83,uA_V84,uA_V85,uA_V86,uA_V87,uA_V88,uA_V89,uA_V90,uA_V91,uA_V92,uA_V93,uA_V94,uA_V95,uA_V96,uA_V97,uA_V98,uA_V99,uA_V100,uA_V101,uA_V102,uA_V103,uA_V104,uA_V105,uA_V106,uA_V107,uA_V108,uA_V109,uA_V110,uA_V111,uA_V112,uA_V113,uA_V114,uA_V115,uA_V116,uA_V117,uA_V118,uA_V119,uA_V120,uA_V121,uA_V122,uA_V123,uA_V124,uA_V125,uA_V126,uA_V127,uA_V128,uA_V129,uA_V130,uA_V131,uA_V132,uA_V133,uA_V134,uA_V135,uA_V136,uA_V137,uA_V138,uA_V139,uA_V140,uA_V141,uA_V142,uA_V143,uA_V144,uA_V145,uA_V146,uA_V147,uA_V148,uA_V149,uA_V150,uA_V151,uA_V152,uA_V153,uA_V154,uA_V155,uA_V156,uA_V157,uA_V158,uA_V159,uA_V160,uA_V161,uA_V162,uA_V163,uA_V164,uA_V165,uA_V166,uA_V167,uA_V168,uA_V169,uA_V170,uA_V171,uA_V172,uA_V173,uA_V174,uA_V175,uA_V176,uA_V177,uA_V178,uA_V179,uA_V180,uA_V181,konsentrasi_ppm
23.530174,20.541814,18.208244,16.334059,14.671247999999999,13.266784,11.943112,10.799812,9.677181,8.70392,7.714688,6.856979,5.956994,5.189471,4.358066,3.658182,2.887841,2.249021,1.5228329999999999,0.928167,0.25083,-0.297802,-0.924785,-1.4283249999999998,-2.030319,-2.5257799999999997,-3.1743699999999997,-3.732398,-4.447312999999999,-5.145318,-6.168368,-7.701536,-9.989073999999999,-12.830883,-17.127886,-21.686052,-23.408987999999997,-22.209322,-21.290547999999998,-20.673336,-20.280648,-19.830658,-19.590159999999997,-19.379725999999998,-19.349662,-19.251962,-19.315844,-19.266994,-19.346846,-19.349662,-19.4577,-19.499973999999998,-19.64089,-19.670952,-19.7912,-19.862598,-19.991301999999997,-20.074911999999998,-20.224284,-20.355804,-20.523964,-20.651728,-20.829283999999998,-20.996502,-21.18533,-21.37134,-21.579895999999998,-21.785632,-22.014855999999998,-22.258172,-22.49867,-22.759833999999998,-23.026633999999998,-23.322557999999997,-23.620362,-23.95762,-24.29394,-24.681929999999998,-25.083071999999998,-25.534001999999997,-25.984934,-26.501625999999998,-27.037108,-27.685322,-28.333536,-29.094483999999998,-29.902402,-30.860632,-31.894018,-33.04953,-34.289588,-31.198832,-28.869016,-27.027714,-25.411876,-24.096657999999998,-22.884778,-21.832604,-20.818008,-19.981906,-19.117622,-18.460013999999997,-17.727249999999998,-17.135402,-16.468398,-15.961101,-15.369252,-14.91832,-14.373444999999998,-13.969486,-13.471582,-13.114593999999999,-12.63548,-12.297281,-11.846349,-11.536334,-11.105131,-10.811086,-10.409004,-10.134687999999999,-9.751396,-9.49211,-9.119152,-8.874898,-8.509454999999999,-8.276474,-7.926062,-7.6921409999999995,-7.347366999999999,-7.1153249999999995,-6.776186999999999,-6.544144999999999,-6.194673,-5.956994,-5.599067,-5.3341449999999995,-4.960248,-4.644595,-4.21715,-3.823524,-3.290861,-2.777926,-2.157895,-1.563229,-0.863346,-0.14185499999999998,0.754371,1.856523,3.048485,5.282476,7.653624,10.323516,13.55801,17.005758,19.87481,21.549834,22.192411999999997,22.136986,21.966006,21.854212,21.861728,21.94252,22.036464,22.070283999999997,21.959429999999998,21.745236,21.428646,21.139298,20.91571,20.807676,20.756946,20.831162,20.938257999999998,21.150572,21.38731,21.728327999999998,22.068406,22.476124,22.864112,23.356379999999998,23.78946,10
24.228178,21.297124,19.023678,17.144794,15.538350999999999,14.138584999999999,12.879734,11.743011,10.690837,9.742002,8.841078,8.011550999999999,7.214906,6.4708689999999995,5.748438,5.079556999999999,4.413493,3.802856,3.19222,2.626676,2.0564359999999997,1.531288,1.003322,0.5110549999999999,0.006576086,-0.46032599999999996,-0.967811,-1.446832,-1.931678,-2.402338,-2.9323699999999997,-3.5576619999999997,-4.380612999999999,-5.780379,-9.309859,-16.629042,-24.6669,-27.995338,-27.422278,-26.172822,-24.810634,-23.166612,-21.607139999999998,-20.451628,-19.62492,-18.9861,-18.563352,-18.178179999999998,-17.924532,-17.70846,-17.576938,-17.464206,-17.398443999999998,-17.313896,-17.276318,-17.229346,-17.23874,-17.23874,-17.295106,-17.3045,-17.370262,-17.426628,-17.529965999999998,-17.605121999999998,-17.736644,-17.821194,-17.962108,-18.084238,-18.253336,-18.384857999999998,-18.563352,-18.73245,-18.929731999999998,-19.108226,-19.333693999999998,-19.549764,-19.831595999999998,-20.085245999999998,-20.385866,-20.677094,-21.034081999999998,-21.37228,-21.785632,-22.208382,-22.71568,-23.213583999999997,-23.814826,-24.425462,-25.167621999999998,-25.937962,-26.802248,-24.162418,-22.29293,-20.742853999999998,-19.45582,-18.328492,-17.342078,-16.412032,-15.622900999999999,-14.843164999999999,-14.176162999999999,-13.518554,-12.936100999999999,-12.344253,-11.82756,-11.292079,-10.841147,-10.341365,-9.923313,-9.480837,-9.100363999999999,-8.687009,-8.341296,-7.947668999999999,-7.619803999999999,-7.252483,-6.945285999999999,-6.590177,-6.297072,-5.96357,-5.687374999999999,-5.356691,-5.091769,-4.783632,-4.522468,-4.219029,-3.971956,-3.6666369999999997,-3.421443,-3.1198829999999997,-2.878447,-2.580644,-2.337328,-2.030131,-1.772724,-1.4551939999999999,-1.178998,-0.836102,-0.521389,-0.111135856,0.26511,0.72553,1.1438629999999999,1.642236,2.1342209999999997,2.743918,3.428019,4.408796,5.636645,7.226178999999999,9.258189999999999,11.981629,15.447225,19.081922,22.336146,25.393086,27.008924,26.548598,25.33672,24.528802,24.660324,25.242776,25.900384,26.388894,26.42647,26.013116,25.233382,24.3597,23.542388,22.931749999999997,22.471424,22.217776,22.058072,22.067466,22.133228,22.349297999999997,22.602946,22.96933,23.354499999999998,23.833613999999997,24.284546,10
24.566378,21.58835,19.314904,17.40784,15.792,14.373444999999998,13.095804999999999,11.940292999999999,10.897514,9.939283999999999,9.028967,8.190984,7.381187,6.637149,5.908143,5.235503,4.56944,3.9522269999999997,3.340651,2.765714,2.195473,1.6703249999999998,1.132965,0.638819,0.13058228,-0.33735299999999996,-0.857803,-1.3315629999999998,-1.828058,-2.2925169999999997,-2.830911,-3.4383529999999998,-4.272577,-5.659192,-9.183973,-16.520067,-24.720446,-28.202016,-27.74169,-26.501625999999998,-25.148832,-23.457838,-21.860788,-20.639516,-19.794017999999998,-19.117622,-18.676084,-18.262732,-18.00908,-17.755432,-17.633304,-17.473599999999998,-17.398443999999998,-17.295106,-17.276318,-17.201162,-17.210556,-17.215253500000003,-17.229346,-17.270445875,-17.313896,-17.323287999999998,-17.445418,-17.49239,-17.642699999999998,-17.689671999999998,-17.868166,-17.94332,-18.140601999999998,-18.234548,-18.460013999999997,-18.553956,-18.798212,-18.929731999999998,-19.202172,-19.361876,-19.681286,-19.878567999999998,-20.235556,-20.461022,-20.86498,-21.156208,-21.62593,-21.973522,-22.527791999999998,-22.978724,-23.617542,-24.162418,-24.951549999999997,-25.656129999999997,-26.576781999999998,-23.889982,-22.067466,-20.461022,-19.230356,-18.046658,-17.116612,-16.139594,-15.397435999999999,-14.570727999999999,-13.950695999999999,-13.246115999999999,-12.710635,-12.071814999999999,-11.611488999999999,-11.029036,-10.60159,-10.073625,-9.701606,-9.216854,-8.879595,-8.428664,-8.116769,-7.689323,-7.396217,-6.992258,-6.718881,-6.336529,-6.074424,-5.709921,-5.46003,-5.105861,-4.865364,-4.53562,-4.3007599999999995,-3.972895,-3.7427319999999997,-3.425201,-3.197856,-2.875628,-2.652981,-2.338268,-2.1043469999999997,-1.787756,-1.5425609999999998,-1.223152,-0.955411,-0.605939,-0.289817,0.113766296,0.479678,0.9339919999999999,1.3442459999999998,1.839801,2.324928,2.922412,3.600876,4.57038,5.770046,7.356761,9.343679,12.100938,15.536472,19.268871999999998,22.51652,25.717194,27.375306,27.027714,25.703101999999998,24.829421999999997,24.93276,25.552792,26.238584,26.745881999999998,26.802248,26.398287999999997,25.627948,24.735478,23.918163999999997,23.288738,22.837808,22.54658,22.396269999999998,22.377482,22.462032,22.649918,22.922358,23.269949999999998,23.683304,24.143629999999998,24.622743999999997,10
24.885787999999998,21.870184,19.568552,17.652092,16.026861,14.580122,13.311876999999999,12.137576,11.094795999999999,10.108384,9.213096,8.344113,7.554983,6.781822999999999,6.076302999999999,5.369844,4.7263269999999995,4.079991,3.486265,2.8859619999999997,2.3439039999999998,1.7802399999999998,1.272942,0.742158,0.254588,-0.255527,-0.743661,-1.251241,-1.714667,-2.215013,-2.7193989999999997,-3.3594399999999998,-4.1551469999999995,-5.580278,-9.121971,-16.592404,-24.91679,-28.361718,-27.845028,-26.633148,-25.27096,-23.579966,-21.964126,-20.780431999999998,-19.878567999999998,-19.230356,-18.73245,-18.366068,-18.037264,-17.839982,-17.642699999999998,-17.529965999999998,-17.398443999999998,-17.332684,-17.257528,-17.21995,-17.182374,-17.182374,-17.205859500000003,-17.21995,-17.23874,-17.3045,-17.360868,-17.45481,-17.529965999999998,-17.652092,-17.755432,-17.886954,-17.999688,-18.168786,-18.309701999999998,-18.488196,-18.6479,-18.845184,-19.033072,-19.267932,-19.502792,-19.784624,-20.047667999999998,-20.34829,-20.658306,-21.024686,-21.409858,-21.832604,-22.283538,-22.819018,-23.373288,-23.99332,-24.669715999999998,-25.458845999999998,-26.285556,-23.67391,-21.766844,-20.254344,-18.939128,-17.849376,-16.834782,-15.951704999999999,-15.115603,-14.382838999999999,-13.697047,-13.067623,-12.447591,-11.893321,-11.339051,-10.850541999999999,-10.343243,-9.897948999999999,-9.442319999999999,-9.037421,-8.61937,-8.241714,-7.855605,-7.507072,-7.137871,-6.819401,-6.463353,-6.161792,-5.818896,-5.528608999999999,-5.212956999999999,-4.937701,-4.622049,-4.35149,-4.04899,-3.783128,-3.495659,-3.233555,-2.9432679999999998,-2.696195,-2.400271,-2.146622,-1.8582139999999998,-1.599867,-1.297367,-1.02493,-0.710217,-0.41335299999999997,-0.046408380000000006,0.29752,0.7126589999999999,1.112204,1.564263,2.002982,2.524559,3.070092,3.7887649999999997,4.708476999999999,5.929749999999999,7.453523,9.489291999999999,12.214609999999999,15.732816,19.467091999999997,22.797411999999998,25.997148,27.74169,27.365911999999998,26.013116,25.073676,25.205198,25.815834,26.529809999999998,27.037108,27.10287,26.68012,25.928568,25.036099999999998,24.228178,23.579966,23.138427999999998,22.828412,22.696892,22.649918,22.753256,22.922358,23.213583999999997,23.542388,23.974529999999998,24.39728,24.913971999999998,10
25.054888,22.029888,19.70947,17.783614,16.148988,14.683461,13.415215,12.222126,11.188741,10.174145,9.290130999999999,8.408935,7.623562,6.833493,6.127972,5.4093,4.769540999999999,4.105356,3.519145,2.9038109999999997,2.365512,1.786816,1.287973,0.743097,0.26304299999999997,-0.265861,-0.7522099999999999,-1.276418,-1.728665,-2.2395329999999998,-2.727948,-3.3744709999999998,-4.162662,-5.6187949999999995,-9.177398,-16.696682,-25.073676,-28.718705999999997,-28.361718,-27.25318,-25.89099,-24.171813999999998,-22.499608,-21.28773,-20.338894,-19.671892,-19.108226,-18.751238,-18.413042,-18.187573999999998,-17.980898,-17.868166,-17.717854,-17.642699999999998,-17.529965999999998,-17.511177999999997,-17.436021999999998,-17.45481,-17.454811,-17.464206,-17.464206,-17.548756,-17.567543999999998,-17.689671999999998,-17.727249999999998,-17.85877,-17.933926,-18.084238,-18.168786,-18.356673999999998,-18.460013999999997,-18.66669,-18.798212,-19.014281999999998,-19.183381999999998,-19.43703,-19.643708,-19.94433,-20.169795999999998,-20.4986,-20.780431999999998,-21.184392,-21.5038,-21.982916,-22.386875999999997,-22.95054,-23.457838,-24.115448,-24.744871999999997,-25.571579999999997,-26.341922,-23.777248,-21.823211999999998,-20.338894,-18.9861,-17.933926,-16.862962,-16.026861,-15.153181,-14.448599999999999,-13.715836999999999,-13.133384,-12.46638,-11.959081999999999,-11.35784,-10.916302,-10.355456,-9.951497,-9.453593,-9.090029999999999,-8.626885,-8.294323,-7.860301,-7.551225,-7.150084,-6.857918,-6.472747,-6.200309,-5.82923,-5.574642,-5.20826,-4.970581,-4.617351,-4.387189,-4.046171,-3.823524,-3.4909619999999997,-3.279588,-2.9376309999999997,-2.726257,-2.394634,-2.178563,-1.84694,-1.630869,-1.289852,-1.058749,-0.6998829999999999,-0.44623399999999996,-0.04086568,0.262573,0.715853,1.0698349999999999,1.562196,1.9521579999999998,2.5129099999999998,3.0109079999999997,3.767158,4.6352009999999995,5.894991,7.363337,9.452653999999999,12.154485999999999,15.780728,19.485884,22.96745,26.157791999999997,27.985944,27.535012,26.201006,25.205198,25.374298,25.956751999999998,26.717698,27.178023999999997,27.300151999999997,26.83043,26.135246,25.195804,24.434856,23.75846,23.354499999999998,22.997512,22.903568,22.819018,22.95054,23.082062,23.410868,23.702092,24.153024,24.556984,25.10186,10
24.960943999999998,21.888972,19.596736,17.614516,16.017467,14.514361,13.283693999999999,12.053026,11.03843,9.995650999999999,9.136061999999999,8.221986,7.457281,6.632452,5.950418,5.201684,4.581653,3.8855269999999997,3.312468,2.671769,2.14944,1.54538,1.066265,0.493206,0.04039596,-0.5009089999999999,-0.9555049999999999,-1.506017,-1.9399449999999998,-2.48313,-2.95642,-3.6328169999999997,-4.41913,-6.0142999999999995,-9.86131,-17.871924,-26.429289999999998,-30.296965999999998,-29.921191999999998,-28.737496,-27.178023999999997,-25.346116,-23.476627999999998,-22.142619999999997,-21.099842,-20.385866,-19.765836,-19.352482,-18.957916,-18.751238,-18.516379999999998,-18.394251999999998,-18.234548,-18.159392,-18.056054,-18.018476,-17.952716,-17.962108,-17.95976,-17.962108,-17.962108,-18.037264,-18.074842,-18.168786,-18.225151999999998,-18.337885999999997,-18.431829999999998,-18.563352,-18.66669,-18.807606,-18.948522,-19.117622,-19.28672,-19.47461,-19.681286,-19.897356,-20.141612,-20.395262,-20.667697999999998,-20.958925999999998,-21.28773,-21.616533999999998,-22.020494,-22.433847999999998,-22.903568,-23.401472,-23.965135999999998,-24.566378,-25.261564,-26.003724,-26.84922,-24.199997999999997,-22.311722,-20.771038,-19.484004,-18.347279999999998,-17.360868,-16.421426999999998,-15.632295999999998,-14.852559999999999,-14.176162999999999,-13.518554,-12.936100999999999,-12.334857999999999,-11.818166,-11.27329,-10.812965,-10.305665999999999,-9.895131,-9.431986,-9.057148999999999,-8.629704,-8.28211,-7.883787,-7.5578009999999995,-7.180146,-6.874828,-6.516901,-6.231311,-5.880898999999999,-5.6197349999999995,-5.271203,-5.02319,-4.682173,-4.448252,-4.11569,-3.884587,-3.560481,-3.331257,-2.9986949999999997,-2.7826239999999998,-2.4510009999999998,-2.23493,-1.89861,-1.675962,-1.318975,-1.080357,-0.70458,-0.43214199999999997,0.002160714,0.334159,0.8067909999999999,1.170073,1.685263,2.122572,2.7519039999999997,3.382926,4.368399999999999,5.514518,7.101233,9.075937999999999,11.916806999999999,15.425619,19.293298,22.777682,26.237644,28.051703999999997,27.713506,26.144638,25.195804,25.299142,26.031906,26.736486,27.328333999999998,27.328333999999998,26.961952,26.12585,25.27096,24.369096,23.777248,23.251161999999997,22.988118,22.762652,22.78144,22.80023,23.03509,23.251161999999997,23.65512,24.002713999999997,24.510012,24.960943999999998,10
25.120648,22.142619999999997,19.718861999999998,17.839982,16.139594,14.730431999999999,13.387032999999999,12.269096999999999,11.141769,10.202327,9.230946,8.423027,7.556862,6.843826,6.055636,5.4093,4.691568,4.09972,3.432717,2.88972,2.26781,1.771785,1.188392,0.718672,0.16064399999999998,-0.28906499999999996,-0.8511329999999999,-1.298119,-1.828903,-2.259543,-2.8212349999999997,-3.398897,-4.263182,-5.7409229999999996,-9.679998,-17.695308,-26.506324,-30.315758,-30.02453,-28.68113,-27.206208,-25.242776,-23.439048,-21.982916,-21.005898,-20.197979999999998,-19.62492,-19.117622,-18.807606,-18.525774,-18.328492,-18.140601999999998,-18.02787,-17.886954,-17.821194,-17.736644,-17.70846,-17.661488,-17.680276,-17.680276,-17.70846,-17.746038,-17.802405999999998,-17.868166,-17.952716,-18.037264,-18.140601999999998,-18.253336,-18.384857999999998,-18.516379999999998,-18.66669,-18.807606,-18.967312,-19.1552,-19.352482,-19.568552,-19.812808,-20.066458,-20.3295,-20.620725999999998,-20.930742,-21.28773,-21.65411,-22.07686,-22.527791999999998,-23.03509,-23.57057,-24.190602,-24.857606,-25.609157999999997,-26.435865999999997,-23.814826,-21.898366,-20.395262,-19.080044,-17.990292,-16.956908,-16.092623,-15.247124999999999,-14.514361,-13.80978,-13.180354999999999,-12.55093,-12.015448,-11.432995,-10.953880999999999,-10.424036,-9.991893,-9.519354,-9.119152,-8.680434,-8.312173,-7.901637,-7.568135,-7.180146,-6.867312,-6.501869999999999,-6.205946,-5.845200999999999,-5.573702,-5.232685,-4.967763,-4.633322,-4.382491,-4.0508679999999995,-3.81413,-3.4900219999999997,-3.25892,-2.927297,-2.702771,-2.373967,-2.152259,-1.8225149999999999,-1.6008069999999999,-1.257911,-1.02493,-0.67076,-0.41335299999999997,-0.018694874,0.284462,0.732669,1.067486,1.5561829999999999,1.9379719999999998,2.494121,2.9799059999999997,3.725822,4.583532,5.816078,7.270333,9.361528,12.085906999999999,15.745028,19.535671999999998,23.228616,26.619056,28.549608,28.051703999999997,26.454653999999998,25.346116,25.571579999999997,26.219794,27.046502,27.516222,27.61956,27.112261999999998,26.388894,25.411876,24.63214,23.927557999999998,23.50481,23.11964,22.997512,22.903568,23.025696,23.157218,23.486022,23.786642,24.228178,24.641534,25.18641,10
25.308536,22.283538,19.878567999999998,18.00908,16.261720999999998,14.843164999999999,13.518554,12.372435999999999,11.27329,10.315061,9.366225,8.547972,7.6987179999999995,6.966893,6.2031279999999995,5.541761,4.8409379999999995,4.237817,3.593361,3.036272,2.434091,1.917398,1.357492,0.8746189999999999,0.33443999999999996,-0.129642848,-0.662117,-1.123101,-1.643363,-2.09345,-2.6391709999999997,-3.2251,-4.0659,-5.5220329999999995,-9.329587,-17.18989,-25.886291999999997,-29.629966,-29.413894,-28.202016,-26.774065999999998,-24.857606,-23.11964,-21.719872,-20.771038,-19.963117999999998,-19.408848,-18.929731999999998,-18.619718,-18.319096,-18.140601999999998,-17.924532,-17.821194,-17.680276,-17.614516,-17.520571999999998,-17.501782,-17.445418,-17.464206,-17.445418,-17.49239,-17.511177999999997,-17.586332,-17.633304,-17.727249999999998,-17.783614,-17.915136,-17.990292,-18.140601999999998,-18.243942,-18.422434,-18.544562,-18.73245,-18.882759999999998,-19.098834,-19.28672,-19.55916,-19.765836,-20.066458,-20.3295,-20.677094,-20.987109999999998,-21.391068,-21.766844,-22.255354,-22.725074,-23.307527999999998,-23.880585999999997,-24.566378,-25.27096,-26.12585,-23.486022,-21.62593,-20.07585,-18.817,-17.680276,-16.703259,-15.792,-14.984081,-14.21374,-13.556130999999999,-12.889128999999999,-12.287887,-11.714827999999999,-11.188741,-10.638228,-10.167568,-9.695029,-9.250674,-8.817592,-8.415512,-8.012490999999999,-7.630138,-7.263756,-6.914283999999999,-6.562933999999999,-6.234128999999999,-5.907204,-5.590612,-5.277779,-4.9734,-4.674657,-4.375915,-4.087507,-3.801917,-3.516327,-3.234495,-2.9611169999999998,-2.681164,-2.404029,-2.122197,-1.852577,-1.572624,-1.295489,-1.009898,-0.718672,-0.420869,-0.102305112,0.232229,0.5885589999999999,0.974575,1.368671,1.788225,2.226005,2.714044,3.25892,3.941893,4.849393,6.010542,7.515527,9.528748,12.334857999999999,15.912249999999998,19.840052,23.501991999999998,26.981679999999997,28.728102,28.239592,26.501625999999998,25.468242,25.618551999999998,26.304344,27.046502,27.544406,27.572588,27.131052,26.360709999999997,25.477636,24.669715999999998,24.040291999999997,23.598754,23.288738,23.110243999999998,23.063271999999998,23.129033999999997,23.307527999999998,23.58936,23.927557999999998,24.331518,24.791843999999998,25.299142,10
20.292862,17.554392,15.553383,13.77784,12.358343999999999,10.985821,9.863189,8.723647999999999,7.787025,6.800612,5.990813999999999,5.115254999999999,4.393765,3.598058,2.9554799999999997,2.222717,1.640263,0.9619869999999999,0.425566,-0.20479799999999998,-0.6897369999999999,-1.282054,-1.7313889999999998,-2.283874,-2.7043679999999997,-3.241071,-3.6628789999999998,-4.197420999999999,-4.634262,-5.2054409999999995,-5.689254,-6.341226,-6.985682,-8.008733,-9.956194,-14.039943,-18.400828,-20.460082,-21.205057999999998,-21.489708,-21.166542,-20.66864,-20.055184,-19.670952,-19.300812,-19.111984,-18.895913999999998,-18.824516,-18.699569999999998,-18.704268,-18.703328,-18.707086,-18.756407,-18.792576,-18.822637999999998,-18.939128,-19.001132,-19.143926,-19.237869999999997,-19.403212,-19.527217999999998,-19.701954,-19.847568,-20.050486,-20.21207,-20.427201999999998,-20.608514,-20.8368,-21.040656,-21.292426,-21.515074,-21.775299999999998,-22.02801,-22.310779999999998,-22.590733999999998,-22.910144,-23.233311999999998,-23.581844,-23.935074,-24.324942,-24.737358,-25.214593999999998,-25.703101999999998,-26.257372,-26.858614,-27.544406,-28.277169999999998,-29.122666,-30.043318,-31.067307999999997,-32.185246,-29.13206,-26.943164,-25.177014,-23.702092,-22.433847999999998,-21.325305999999998,-20.3295,-19.43703,-18.629112,-17.905744,-17.201162,-16.562342,-15.961101,-15.406830999999999,-14.843164999999999,-14.345262,-13.856753,-13.415215,-12.936100999999999,-12.522746,-12.081209,-11.696038,-11.292079,-10.930394,-10.536768,-10.209843,-9.835006,-9.512779,-9.160487999999999,-8.856109,-8.511334,-8.224805,-7.890364,-7.61041,-7.276909,-7.011985999999999,-6.678484999999999,-6.410743999999999,-6.080061,-5.815138,-5.487273999999999,-5.219533,-4.879455,-4.601381,-4.2396959999999995,-3.935317,-3.54451,-3.182825,-2.722499,-2.298812,-1.785877,-1.313338,-0.7384,-0.163462,0.558967,1.37412,2.500979,3.83104,5.517335999999999,7.388701999999999,9.575721,11.965658,14.506846,16.844174,18.868669999999998,19.468034,19.090377999999998,18.761571999999997,18.957916,19.280144,19.670012,19.906751999999997,20.085245999999998,19.919904,19.622101999999998,19.114804,18.740906,18.36419,18.206364,18.032567999999998,18.050416,18.036326,18.220456,18.367946,18.692994,18.953219999999998,19.363754,19.695377999999998,20.17731,20.550268,10
20.120003999999998,17.49051,15.377707,13.716776,12.186427,10.929454999999999,9.695029,8.666342,7.619803999999999,6.748943,5.824533,5.05701,4.226544,3.541692,2.786381,2.1654109999999998,1.470224,0.9037419999999999,0.25083,-0.269619,-0.8644729999999999,-1.337669,-1.907346,-2.343153,-2.877977,-3.294619,-3.822584,-4.225605,-4.763904,-5.202623,-5.795411,-6.315861,-7.055200999999999,-7.939214,-9.859430999999999,-13.259269,-16.778413999999998,-18.36419,-19.515943999999998,-20.130338,-20.34735,-20.056124,-19.744228,-19.34027,-19.136409999999998,-18.863032,-18.784119999999998,-18.610324,-18.617839999999998,-18.520136,-18.580261999999998,-18.534228,-18.641324,-18.63287,-18.772845999999998,-18.788818,-18.956038,-19.006766,-19.196534,-19.265114,-19.486822,-19.579826,-19.818444,-19.928359999999998,-20.17919,-20.307893999999997,-20.590664,-20.730642,-21.020927999999998,-21.178753999999998,-21.497224,-21.67196,-22.016735999999998,-22.228109999999997,-22.601067999999998,-22.85096,-23.280283999999998,-23.57339,-24.02808,-24.358762,-24.868878,-25.25217,-25.825229999999998,-26.257372,-26.933767999999997,-27.506828,-28.333536,-29.0663,-30.090291999999998,-31.020338,-32.241611999999996,-29.038117999999997,-26.877404,-24.989127999999997,-23.579966,-22.198988,-21.156208,-20.066458,-19.230356,-18.366068,-17.680276,-16.909936,-16.336876,-15.651085,-15.153181,-14.523755,-14.082218,-13.527949,-13.123989,-12.588507,-12.222126,-11.724222,-11.367234,-10.899393,-10.579983,-10.140324,-9.841583,-9.422592,-9.14076,-8.734921,-8.477514,-8.091403999999999,-7.845269999999999,-7.475130999999999,-7.238391999999999,-6.8776459999999995,-6.6409069999999994,-6.2820409999999995,-6.047181,-5.69583,-5.4553329999999995,-5.095527,-4.8597269999999995,-4.491466,-4.243454,-3.8620409999999996,-3.5943,-3.170613,-2.854021,-2.376785,-1.9991299999999999,-1.479619,-1.063447,-0.48381199999999996,0.019728258000000002,0.7516459999999999,1.457542,2.5142249999999997,3.690123,5.25805,6.9208609999999995,8.923748999999999,11.011186,13.338180999999999,15.521441999999999,17.515874,18.120876,17.804284,17.393748,17.564726,17.900106,18.389554,18.735267999999998,19.074408,19.074408,18.950402,18.577444,18.317218,18.030687999999998,17.952716,17.824952,17.870044,17.869104,18.06169,18.215757999999997,18.547382,18.817,19.236929999999997,19.574189999999998,20.061757999999998,20.44505,10
